;wagi;cechy
2;31.39784543331252;overall_survival_months
0;20.618215831005116;age_at_diagnosis
8;10.344717412378992;cohort
13;5.479458469425261;integrative_cluster
7;4.984525976769679;pam50_+_claudin-low_subtype
24;3.9879716178767146;3-gene_classifier_subtype
1;3.0878537908627566;lymph_nodes_examined_positive
17;2.463155483859181;neoplasm_histologic_grade
3;2.0220214059233594;nottingham_prognostic_index
15;1.9208093789720908;tumor_stage
22;1.7999916475027338;type_of_breast_surgery
23;1.6858849818136583;cellularity
10;1.671678812763848;her2_status_measured_by_snp6
4;1.5928125417324628;tumor_size
5;1.4604991090320423;mutation_count
14;1.0457841608446552;pr_status
19;0.9244148547746036;oncotree_code
16;0.8633808711399806;primary_tumor_laterality
20;0.795841483602122;tumor_other_histologic_subtype
18;0.7575491312748946;cancer_type_detailed
12;0.6104973771745019;inferred_menopausal_state
9;0.47053958376166216;er_status
11;0.01455064419705347;her2_status
6;0.0;cancer_type
21;0.0;er_status_measured_by_ihc
