;cecha;wagi
2;overall_survival_months;0.09041472714591459
0;age_at_diagnosis;0.08310935571996049
3;nottingham_prognostic_index;0.02762916245357439
1;lymph_nodes_examined_positive;0.020052353799022638
12;inferred_menopausal_state;0.019570188693830762
8;cohort;0.017243171467171158
223;IC41;0.016247711295509233
200;IC18;0.014131564998438402
4;tumor_size;0.013537129525032266
242;IC60;0.012720131220793577
209;IC27;0.012688139200686508
201;IC19;0.012657149513720775
185;IC3;0.012364920547578121
240;IC58;0.011881447610590035
188;IC6;0.011820831049022151
187;IC5;0.011774433578594166
217;IC35;0.011723359508279492
228;IC46;0.011171883075244861
189;IC7;0.011145556094056142
190;IC8;0.01104483985122835
230;IC48;0.010890259554646457
241;IC59;0.010758254729149033
220;IC38;0.010732220729931505
233;IC51;0.010620391172970083
222;IC40;0.010492048797320238
227;IC45;0.010464922024418184
232;IC50;0.010450696412145044
208;IC26;0.01042365649708855
205;IC23;0.010421706318382037
198;IC16;0.010402631121127943
219;IC37;0.01031974218489941
193;IC11;0.010286680069788452
239;IC57;0.010249630651123281
192;IC10;0.010219411157629617
206;IC24;0.010204016670329425
238;IC56;0.010108394931338801
191;IC9;0.009932009860140782
207;IC25;0.00989659868705819
235;IC53;0.009868533874737268
203;IC21;0.009817791053163848
226;IC44;0.009709425428808802
210;IC28;0.009645496627748143
231;IC49;0.00957032887289927
204;IC22;0.00948491268110414
214;IC32;0.009478103998268761
234;IC52;0.009425974165601009
196;IC14;0.009302369594792952
216;IC34;0.009229381672882701
225;IC43;0.009218552217409966
211;IC29;0.009166439651383616
16;tp53_mut;0.009160458286000029
212;IC30;0.009086718848401421
221;IC39;0.009080973700926472
237;IC55;0.009068115501316061
202;IC20;0.008975886520876329
236;IC54;0.008886586750119678
183;IC1;0.008810631218642133
199;IC17;0.008795433884267423
184;IC2;0.008772217656946704
229;IC47;0.008755755385258713
215;IC33;0.008715781526166802
213;IC31;0.00866312455040494
186;IC4;0.00865960389978281
218;IC36;0.008654220420382826
224;IC42;0.008619784255558028
194;IC12;0.00854219803158237
195;IC13;0.008425764026981373
173;type_of_breast_surgery;0.008232804647923572
197;IC15;0.007898651001488444
13;integrative_cluster;0.006928544909825954
5;mutation_count;0.006857732679518267
182;3-gene_classifier_subtype;0.005814060745313702
7;pam50_+_claudin-low_subtype;0.0057068883638700645
15;pik3ca_mut;0.004664850504602488
166;er_status_measured_by_ihc;0.0045032612249465585
21;gata3_mut;0.003639736788558922
138;tumor_stage;0.003386390810550039
9;er_status;0.0032370809754697022
22;map3k1_mut;0.0028013971952701297
144;neoplasm_histologic_grade;0.0024169719547532734
11;her2_status;0.002265285343862788
10;her2_status_measured_by_snp6;0.0022575392124486392
18;ahnak2_mut;0.0022221350408997537
19;kmt2c_mut;0.002051629347550129
143;primary_tumor_laterality;0.0019070405308918325
160;tumor_other_histologic_subtype;0.0018373454212478701
17;muc16_mut;0.0017797250540655652
14;pr_status;0.0017324260965205637
181;cellularity;0.0016141818870646471
24;dnah11_mut;0.0016128980923749417
41;notch1_mut;0.0015831140650392084
25;cdh1_mut;0.0013759034476883258
20;syne1_mut;0.001353291043747099
34;tg_mut;0.0012610743872229116
158;cancer_type_detailed;0.0012385733193330795
159;oncotree_code;0.0011752638669073519
28;ush2a_mut;0.0009244973716259162
35;birc6_mut;0.0009002293686197346
23;ahnak_mut;0.0008520476248783434
27;kmt2d_mut;0.0007945462171064647
53;runx1_mut;0.0007333568721986691
33;akap9_mut;0.0007245123589497783
108;palld_mut;0.0007086084958032691
42;cbfb_mut;0.000668725243936248
98;egfr_mut;0.0006565787534428281
26;dnah2_mut;0.0006180234976061041
40;lama2_mut;0.0005837020913024706
73;pik3r1_mut;0.0005567277132060329
38;col6a3_mut;0.0005464447256809482
31;herc2_mut;0.0005404529243201017
32;pde4dip_mut;0.0005376787925219111
29;ryr2_mut;0.0005202452748709911
57;lamb3_mut;0.0004583862871940168
36;utrn_mut;0.00044951742237930896
66;thsd7a_mut;0.00044428060678684676
37;tbx3_mut;0.0004404978372993756
48;atr_mut;0.0004348557491113096
46;pten_mut;0.00043122578840453196
45;col22a1_mut;0.0004282908560732718
30;dnah5_mut;0.0003901560747495345
75;apc_mut;0.0003882239241255102
68;erbb3_mut;0.00038548243870597984
43;ncor2_mut;0.0003500526488908846
44;col12a1_mut;0.00032926560188170666
39;arid1a_mut;0.0003282945733304401
52;myh9_mut;0.0003232701698259973
54;nf1_mut;0.00028856384924172467
77;asxl1_mut;0.00025602356830217444
117;ttyh1_mut;0.00025567904381695736
51;stab2_mut;0.00023530575052856925
47;akt1_mut;0.00022901318695293
49;thada_mut;0.00022238005164721363
61;shank2_mut;0.0002150802010641289
62;ptprd_mut;0.0002073815449907755
58;arid1b_mut;0.00020434223293746258
50;ncor1_mut;0.00018973466066387465
87;arid2_mut;0.0001889498945607484
55;map2k4_mut;0.00018791645196897938
56;ros1_mut;0.0001779871021599613
84;usp28_mut;0.00017677465255194852
104;smad4_mut;0.00017382778658480032
83;foxo3_mut;0.00016875309992713016
67;afdn_mut;0.0001653967506898426
89;lifr_mut;0.00016516517840829903
59;erbb2_mut;0.00015818553954398038
94;chd1_mut;0.00015427397379918543
76;ctcf_mut;0.00015272348762051862
81;ctnna3_mut;0.00014948682193369482
63;usp9x_mut;0.00014677216296087782
