;cecha;wagi
2;overall_survival_months;0.24942883539251243
0;age_at_diagnosis;0.19399510120365715
3;nottingham_prognostic_index;0.08343866884059627
8;cohort;0.05545660033845319
4;tumor_size;0.054704838526626665
1;lymph_nodes_examined_positive;0.05363499864155879
5;mutation_count;0.04303488688071084
13;integrative_cluster;0.03713720779211693
7;pam50_+_claudin-low_subtype;0.03135131745809594
12;inferred_menopausal_state;0.030932294992922035
24;3-gene_classifier_subtype;0.02269832647375037
22;type_of_breast_surgery;0.01856216271103314
23;cellularity;0.0156328132032018
17;neoplasm_histologic_grade;0.014444584189498155
10;her2_status_measured_by_snp6;0.013256332923325589
16;primary_tumor_laterality;0.011566170698033985
14;pr_status;0.011338001104288533
21;er_status_measured_by_ihc;0.010517084230073881
9;er_status;0.00997110506282308
15;tumor_stage;0.009896295417520747
20;tumor_other_histologic_subtype;0.009691388378606529
11;her2_status;0.006566613464544799
18;cancer_type_detailed;0.006396742319934737
19;oncotree_code;0.006347629756114355
6;cancer_type;0.0
