;cecha;wagi
2;overall_survival_months;0.107362375
12;inferred_menopausal_state;0.08479899
0;age_at_diagnosis;0.07993649
8;cohort;0.067453206
22;type_of_breast_surgery;0.05569668
1;lymph_nodes_examined_positive;0.046405535
9;er_status;0.0389331
3;nottingham_prognostic_index;0.037413467
16;primary_tumor_laterality;0.037383243
14;pr_status;0.037007753
11;her2_status;0.034389306
24;3-gene_classifier_subtype;0.033565212
21;er_status_measured_by_ihc;0.033023804
10;her2_status_measured_by_snp6;0.03253565
13;integrative_cluster;0.03000316
17;neoplasm_histologic_grade;0.029797178
4;tumor_size;0.029323563
7;pam50_+_claudin-low_subtype;0.029170495
5;mutation_count;0.028672446
23;cellularity;0.027480407
20;tumor_other_histologic_subtype;0.027068343
19;oncotree_code;0.024728809
15;tumor_stage;0.024340004
18;cancer_type_detailed;0.023510786
6;cancer_type;0.0
