;liczba_brakow;procent_brakow
tumor_stage;501;26.313025210084035
3-gene_classifier_subtype;204;10.714285714285714
primary_tumor_laterality;106;5.567226890756303
neoplasm_histologic_grade;72;3.7815126050420167
cellularity;54;2.8361344537815127
ep300_mut;54;2.8361344537815127
myo1a_mut;47;2.4684873949579833
fanca_mut;46;2.415966386554622
mutation_count;45;2.3634453781512605
myo3a_mut;45;2.3634453781512605
ptprm_mut;37;1.9432773109243697
gldc_mut;35;1.8382352941176472
sbno1_mut;32;1.680672268907563
kdm3a_mut;32;1.680672268907563
er_status_measured_by_ihc;30;1.5756302521008403
fam20c_mut;28;1.4705882352941175
npnt_mut;26;1.365546218487395
nek1_mut;25;1.3130252100840336
sik1_mut;24;1.2605042016806722
type_of_breast_surgery;22;1.1554621848739497
stk11_mut;21;1.1029411764705883
sik2_mut;21;1.1029411764705883
ptpn22_mut;20;1.050420168067227
tumor_size;20;1.050420168067227
flt3_mut;19;0.9978991596638654
taf4b_mut;18;0.9453781512605042
hdac9_mut;18;0.9453781512605042
prkacg_mut;17;0.8928571428571428
large1_mut;16;0.8403361344537815
tumor_other_histologic_subtype;15;0.7878151260504201
oncotree_code;15;0.7878151260504201
cancer_type_detailed;15;0.7878151260504201
ppp2r2a_mut;13;0.6827731092436975
nf2_mut;12;0.6302521008403361
ldlrap1_mut;12;0.6302521008403361
clrn2_mut;12;0.6302521008403361
prr16_mut;11;0.5777310924369748
dtwd2_mut;11;0.5777310924369748
ctnna1_mut;11;0.5777310924369748
agtr2_mut;11;0.5777310924369748
magea8_mut;11;0.5777310924369748
foxo1_mut;10;0.5252100840336135
nt5e_mut;10;0.5252100840336135
braf_mut;10;0.5252100840336135
ccnd3_mut;9;0.4726890756302521
nr3c1_mut;9;0.4726890756302521
tbl1xr1_mut;8;0.42016806722689076
rasgef1b_mut;7;0.3676470588235294
spaca1_mut;7;0.3676470588235294
smad2_mut;7;0.3676470588235294
sgcd_mut;7;0.3676470588235294
hist1h2bc_mut;6;0.31512605042016806
nr2f1_mut;5;0.26260504201680673
klrg1_mut;5;0.26260504201680673
mbl2_mut;4;0.21008403361344538
ppp2cb_mut;4;0.21008403361344538
smarcd1_mut;4;0.21008403361344538
nras_mut;3;0.15756302521008403
hras_mut;2;0.10504201680672269
smarcb1_mut;2;0.10504201680672269
stmn2_mut;2;0.10504201680672269
death_from_cancer;1;0.052521008403361345
siah1_mut;1;0.052521008403361345
