iter	TotalF1	MultiClass	Accuracy
0	0.2491402014	1.097383512	0.4206836109
1	0.3120899262	1.094179358	0.4496056091
2	0.4915621639	1.087103507	0.5766871166
3	0.4783656614	1.086060729	0.5652936021
4	0.4896730152	1.081194155	0.5749342682
5	0.4915685362	1.075192216	0.5793163891
6	0.4827516009	1.073761857	0.5705521472
7	0.4789762124	1.072298705	0.5670464505
8	0.4812172003	1.070493575	0.5687992989
9	0.4873129584	1.066254645	0.5766871166
10	0.4790473588	1.065544578	0.5687992989
11	0.4737501905	1.061703294	0.5644171779
12	0.4816975961	1.053263487	0.5705521472
13	0.4785775156	1.052632832	0.5679228747
14	0.4781375755	1.052052698	0.5679228747
15	0.4738970598	1.048778472	0.5644171779
16	0.4764657228	1.046713238	0.5670464505
17	0.4688834927	1.04623799	0.560035057
18	0.4651839351	1.0457899	0.5565293602
19	0.4570940391	1.042564399	0.5495179667
20	0.450239464	1.042163078	0.5433829974
21	0.4862292114	1.036693304	0.5766871166
22	0.4846600724	1.036336087	0.5749342682
23	0.47820544	1.03599178	0.5687992989
24	0.4893270613	1.030189255	0.5793163891
25	0.4890262563	1.029266094	0.5793163891
26	0.485568906	1.028964828	0.5758106924
27	0.4838752466	1.028694271	0.574057844
28	0.4855137182	1.027045482	0.5758106924
29	0.4818973328	1.0268041	0.5723049956
30	0.479805967	1.026551428	0.5705521472
31	0.4835414487	1.024950127	0.574057844
32	0.4947403154	1.020190297	0.5845749343
33	0.494385615	1.019984367	0.5845749343
34	0.4967210708	1.016006333	0.5872042068
35	0.4941062414	1.015832716	0.5845749343
36	0.4987127507	1.011476291	0.5889570552
37	0.498638849	1.009897691	0.5889570552
38	0.5010147571	1.006259829	0.5915863278
39	0.5009493417	1.004424176	0.5915863278
40	0.5009898147	1.002811252	0.5915863278
41	0.4988217674	0.9983971039	0.5889570552
42	0.4939907474	0.9946320375	0.5836985101
43	0.5019232687	0.9910535803	0.5915863278
44	0.5058733111	0.9892984557	0.5959684487
45	0.5049524485	0.9884239599	0.5950920245
46	0.5032317714	0.9882682883	0.5933391762
47	0.5032940697	0.9879156652	0.5933391762
48	0.5048585894	0.9874067664	0.5950920245
49	0.5048585894	0.9873277723	0.5950920245
50	0.5072352014	0.9862603153	0.5977212971
51	0.5064403388	0.9850888691	0.5968448729
52	0.5082546553	0.9816809601	0.5985977213
53	0.5083152193	0.9815549709	0.5985977213
