iter	Passed	Remaining
0	148	148357
1	175	87470
2	207	68904
3	215	53758
4	244	48577
5	274	45512
6	306	43537
7	328	40788
8	342	37750
9	373	36949
10	387	34808
11	402	33113
12	431	32794
13	461	32533
14	490	32214
15	512	31518
16	540	31280
17	548	29940
18	554	28648
19	584	28616
20	591	27565
21	619	27554
22	626	26632
23	639	25988
24	667	26021
25	694	26029
26	708	25548
27	715	24826
28	743	24881
29	751	24286
30	764	23912
31	793	24000
32	825	24202
33	839	23858
34	869	23961
35	877	23504
36	898	23387
37	911	23085
38	942	23216
39	970	23293
40	999	23388
41	1014	23138
42	1043	23221
43	1072	23308
44	1103	23412
45	1125	23341
46	1140	23121
47	1160	23021
48	1190	23114
49	1198	22762
50	1227	22840
51	1241	22630
52	1272	22738
53	1301	22796
54	1315	22603
55	1343	22652
56	1372	22712
57	1402	22779
58	1415	22583
59	1441	22575
60	1461	22502
61	1490	22553
62	1519	22604
63	1549	22654
64	1569	22576
65	1597	22612
66	1625	22635
67	1632	22379
68	1652	22298
69	1679	22315
70	1701	22264
71	1729	22293
72	1762	22375
73	1782	22301
74	1810	22325
75	1840	22382
76	1855	22240
77	1886	22300
78	1894	22084
79	1922	22108
80	1956	22200
81	1971	22066
82	1997	22068
83	2027	22105
84	2058	22163
85	2089	22203
86	2119	22246
87	2157	22363
88	2189	22408
89	2238	22629
90	2394	23913
91	2465	24331
92	2546	24831
93	2597	25031
94	2663	25371
95	2699	25423
96	2733	25444
97	2763	25433
98	2789	25388
99	2811	25302
100	2819	25098
101	2835	24960
102	2856	24878
103	2887	24879
104	2895	24676
105	2923	24654
106	2952	24638
107	2959	24441
108	2988	24430
109	3002	24295
110	3036	24318
111	3051	24195
112	3079	24174
113	3087	23992
114	3114	23970
115	3144	23962
116	3186	24051
117	3216	24041
118	3241	23997
119	3296	24177
120	3334	24221
121	3368	24244
122	3401	24256
123	3435	24270
124	3471	24303
125	3506	24322
126	3539	24333
127	3569	24316
128	3599	24302
129	3606	24135
130	3634	24109
131	3662	24083
132	3675	23962
133	3704	23942
134	3733	23923
135	3764	23913
136	3795	23911
137	3825	23897
138	3856	23885
139	3887	23881
140	3909	23815
141	3939	23805
142	3952	23689
143	3982	23671
144	4011	23655
145	4041	23642
146	4069	23617
147	4077	23470
148	4122	23545
149	4169	23627
150	4202	23629
151	4231	23606
152	4260	23586
153	4289	23565
154	4329	23604
155	4338	23474
156	4378	23512
157	4386	23376
158	4401	23281
159	4432	23270
160	4465	23272
161	4498	23271
162	4520	23214
163	4541	23152
164	4570	23129
165	4577	22999
166	4606	22979
167	4628	22921
168	4657	22903
169	4689	22893
170	4702	22797
171	4731	22776
172	4738	22653
173	4768	22634
174	4797	22614
175	4825	22594
176	4854	22571
177	4883	22552
178	4913	22537
179	4944	22527
180	4981	22539
181	5015	22541
182	5045	22527
183	5076	22511
184	5109	22509
185	5137	22485
186	5167	22465
187	5181	22378
188	5209	22355
189	5240	22339
190	5261	22286
191	5290	22264
192	5312	22211
193	5343	22199
194	5376	22196
195	5408	22186
196	5435	22157
197	5463	22131
198	5484	22075
199	5490	21963
200	5517	21932
201	5545	21907
202	5552	21801
203	5564	21713
204	5591	21683
205	5617	21652
206	5644	21623
207	5657	21542
208	5683	21510
209	5696	21429
210	5725	21408
211	5754	21391
212	5781	21360
213	5793	21279
214	5818	21245
215	5845	21215
216	5863	21157
217	5889	21125
218	5901	21044
219	5917	20981
220	5924	20881
221	5929	20781
222	5955	20752
223	5990	20753
224	6022	20745
225	6042	20694
226	6061	20641
227	6068	20546
228	6091	20508
229	6117	20478
230	6141	20443
231	6153	20369
232	6177	20333
233	6202	20303
234	6226	20267
235	6252	20239
236	6276	20206
237	6300	20172
238	6306	20081
239	6330	20046
240	6353	20010
241	6377	19975
242	6394	19919
243	6411	19865
244	6434	19828
245	6457	19792
246	6479	19754
247	6507	19733
248	6537	19716
249	6562	19688
250	6587	19656
251	6599	19588
252	6622	19554
253	6648	19525
254	6673	19496
255	6698	19466
256	6715	19415
257	6740	19385
258	6769	19368
259	6796	19344
260	6820	19312
261	6845	19283
262	6868	19246
263	6891	19211
264	6914	19178
265	6937	19143
266	6962	19113
267	6985	19080
268	7009	19048
269	7033	19015
270	7056	18983
271	7080	18951
272	7104	18918
273	7127	18885
274	7151	18853
275	7174	18821
276	7197	18785
277	7221	18754
278	7244	18722
279	7276	18710
280	7299	18678
281	7324	18649
282	7349	18620
283	7373	18589
284	7400	18565
285	7427	18542
286	7452	18514
287	7476	18484
288	7498	18448
289	7521	18415
290	7544	18382
291	7567	18347
292	7590	18316
293	7616	18289
294	7652	18288
