;feature;importance
3;overall_survival_months;23.618800193883843
1;age_at_diagnosis;14.451274304985725
10;IC4;5.561869577520824
16;IC10;2.472791785099602
0;Unnamed: 0;2.252741000095698
2;lymph_nodes_examined_positive;2.1956710788070386
9;IC3;1.9467952488487141
213;nr3c1_mut;1.4412486351747262
225;ptpn22_mut;1.4142423239831885
177;men1_mut;1.2776243391557704
245;cellularity;1.1817436039030231
4;nottingham_prognostic_index;1.1330918244388712
231;sik1_mut;1.0657680984119642
221;ldlrap1_mut;1.0508230438241282
188;lipi_mut;1.047843234362368
238;ptprm_mut;1.0320354552038147
242;kdm3a_mut;0.9697426471069941
187;prkcz_mut;0.9233649693065703
203;taf4b_mut;0.8873323708049868
227;npnt_mut;0.8750410564048033
15;IC9;0.8686116807860407
189;prkce_mut;0.8456661082328971
241;fam20c_mut;0.8189742333965427
212;clrn2_mut;0.8148648756956366
147;foxo3_mut;0.8006712614127587
148;usp28_mut;0.7877003385681447
228;stk11_mut;0.7549311661382314
193;chek2_mut;0.7506846959009695
198;frmd3_mut;0.7402468626334389
142;fancd2_mut;0.7366882515793497
237;type_of_breast_surgery;0.7112047489563792
216;nf2_mut;0.6940215902840673
217;flt3_mut;0.6450483252478011
222;cancer_type_detailed;0.6437303612948272
186;clk3_mut;0.6278755710825595
214;ppp2r2a_mut;0.6039924782394889
211;ccnd3_mut;0.5925876619357742
224;tumor_other_histologic_subtype;0.5743631339365718
243;fanca_mut;0.557234074471115
223;oncotree_code;0.5553813273639001
190;gh1_mut;0.5544501962470098
239;myo1a_mut;0.5387313993925705
194;acvrl1_mut;0.5211082760203118
226;nek1_mut;0.5200392275426103
5;tumor_size;0.507570158757053
197;prkg1_mut;0.4845407932135901
195;cdkn2a_mut;0.4746362387526308
236;sik2_mut;0.46876469048963687
191;gpr32_mut;0.4537505784502947
219;prr16_mut;0.4482483612116602
164;smarcc2_mut;0.41627890552526875
204;dtwd2_mut;0.4133996849213923
208;neoplasm_histologic_grade;0.3711385468745225
199;mtap_mut;0.3559298151252265
206;tbl1xr1_mut;0.3534438685752183
246;3-gene_classifier_subtype;0.34776983554457697
209;ctnna1_mut;0.34447676729697374
233;sbno1_mut;0.3170663186212705
196;akt2_mut;0.31105913161782955
25;IC19;0.30112381264478427
218;braf_mut;0.3001813580388553
18;IC12;0.2997001314588058
202;tumor_stage;0.2953062280530825
240;gldc_mut;0.293220168436098
232;myo3a_mut;0.29294215990297595
11;IC5;0.29111470102552117
205;magea8_mut;0.2855662652685983
220;large1_mut;0.28398480143092586
207;primary_tumor_laterality;0.283418594434743
244;ep300_mut;0.2684488662404199
192;kras_mut;0.2619165292956199
215;nt5e_mut;0.2615342139955369
112;atr_mut;0.25832695779953174
200;ndfip1_mut;0.2516960519993618
201;prps2_mut;0.23920854048114198
230;er_status_measured_by_ihc;0.23916314707119318
109;col22a1_mut;0.22863289430948328
6;mutation_count;0.22790137329279023
8;IC2;0.22502368768527115
111;akt1_mut;0.2205698854214453
229;prkacg_mut;0.21991095314826
12;IC6;0.21989374180372873
185;foxp1_mut;0.1956009830298787
235;hdac9_mut;0.1898756286066973
101;tbx3_mut;0.16652446097949258
234;agtr2_mut;0.15793907613820773
17;IC11;0.15073095110617377
163;map3k10_mut;0.14704559797010996
121;lamb3_mut;0.14421148306016948
162;egfr_mut;0.13856860536397667
51;IC45;0.13508396466556272
128;setd2_mut;0.13484635869873288
45;IC39;0.12153680364641671
103;arid1a_mut;0.12003731246167874
68;chemotherapy;0.11615158607582343
48;IC42;0.11395319169984933
80;tp53_mut;0.1041924181436016
79;pik3ca_mut;0.10415700197699605
114;ncor1_mut;0.09543570259570358
74;hormone_therapy;0.09098596392714384
120;ros1_mut;0.08891927316450875
126;ptprd_mut;0.08856918342932722
73;her2_status;0.08592615449652387
75;inferred_menopausal_state;0.0835115722009177
14;IC8;0.08036911091236172
83;kmt2c_mut;0.07631297403458986
69;pam50_+_claudin-low_subtype;0.07164155490711394
106;cbfb_mut;0.06861617389213735
98;tg_mut;0.06622761233217021
92;ush2a_mut;0.06325325702935582
88;dnah11_mut;0.06322177752206849
134;alk_mut;0.05939279669048112
140;ctcf_mut;0.0587477238046445
91;kmt2d_mut;0.05699785331521959
110;pten_mut;0.05483965744075155
32;IC26;0.05451191696741588
49;IC43;0.05432702398531128
93;ryr2_mut;0.05285565637403332
210;foxo1_mut;0.0519567330244021
46;IC40;0.050867030619035664
102;col6a3_mut;0.050716937104056906
64;IC58;0.04979265684773444
94;dnah5_mut;0.04239992457759706
99;birc6_mut;0.04083061941330464
138;asxl2_mut;0.04060838892312207
86;map3k1_mut;0.039631103311718374
87;ahnak_mut;0.03950938469878664
141;asxl1_mut;0.03862297285097304
67;cancer_type;0.036488049373054936
133;rb1_mut;0.036163001292950823
137;pik3r1_mut;0.03332201889491587
117;runx1_mut;0.03254177415009757
96;pde4dip_mut;0.032450687446088054
72;her2_status_measured_by_snp6;0.03179346301348181
105;notch1_mut;0.030575189786742316
127;usp9x_mut;0.02980380374317771
122;arid1b_mut;0.027886175176152217
139;apc_mut;0.027442121827631873
59;IC53;0.02604716761148483
113;thada_mut;0.02558749039991604
125;shank2_mut;0.023069012780694276
116;myh9_mut;0.022028585558820216
33;IC27;0.020589868833158147
108;col12a1_mut;0.020508703078568214
135;adgra2_mut;0.020458118464782078
123;erbb2_mut;0.019439420011281933
119;map2k4_mut;0.018066154360599364
132;erbb3_mut;0.017689341566191084
107;ncor2_mut;0.015462102280359494
61;IC55;0.015017288259579589
129;setd1a_mut;0.014942017372116609
52;IC46;0.013154834125661818
27;IC21;0.012669661215705147
77;pr_status;0.011051176985082081
115;stab2_mut;0.010690525308622183
104;lama2_mut;0.010483170806488713
85;gata3_mut;0.00948459408253146
136;ubr5_mut;0.009352613634511226
81;muc16_mut;0.009294832020193254
62;IC56;0.008488872069289046
82;ahnak2_mut;0.008270566102250784
124;sf3b1_mut;0.007908397671682114
39;IC33;0.005960561971456644
95;herc2_mut;0.005896367268211339
60;IC54;0.005608497935359817
89;cdh1_mut;0.005444796322901094
90;dnah2_mut;0.005431413355476523
84;syne1_mut;0.0047517700433418976
130;thsd7a_mut;0.001402829124943673
41;IC35;0.0008153483106117005
28;IC22;0.0005089835836048984
76;integrative_cluster;0.0003931228675045009
13;IC7;0.0
7;IC1;0.0
19;IC13;0.0
22;IC16;0.0
21;IC15;0.0
20;IC14;0.0
42;IC36;0.0
50;IC44;0.0
47;IC41;0.0
53;IC47;0.0
54;IC48;0.0
118;nf1_mut;0.0
100;utrn_mut;0.0
97;akap9_mut;0.0
66;IC60;0.0
58;IC52;0.0
57;IC51;0.0
56;IC50;0.0
55;IC49;0.0
70;cohort;0.0
63;IC57;0.0
65;IC59;0.0
71;er_status;0.0
78;radio_therapy;0.0
24;IC18;0.0
26;IC20;0.0
23;IC17;0.0
38;IC32;0.0
37;IC31;0.0
36;IC30;0.0
35;IC29;0.0
34;IC28;0.0
31;IC25;0.0
29;IC23;0.0
30;IC24;0.0
43;IC37;0.0
44;IC38;0.0
40;IC34;0.0
180;fbxw7_mut;0.0
182;or6a2_mut;0.0
181;ttyh1_mut;0.0
149;brca2_mut;0.0
150;cacna2d3_mut;0.0
144;kdm6a_mut;0.0
143;taf1_mut;0.0
131;afdn_mut;0.0
179;nrg3_mut;0.0
178;brip1_mut;0.0
176;gps2_mut;0.0
175;cdkn1b_mut;0.0
174;bcas3_mut;0.0
170;prkcq_mut;0.0
173;dcaf4l2_mut;0.0
172;palld_mut;0.0
171;smarcc1_mut;0.0
168;smad4_mut;0.0
169;casp8_mut;0.0
167;zfp36l1_mut;0.0
166;agmo_mut;0.0
154;ncoa3_mut;0.0
165;erbb4_mut;0.0
160;setdb1_mut;0.0
161;arid5b_mut;0.0
159;jak1_mut;0.0
156;l1cam_mut;0.0
157;pbrm1_mut;0.0
158;chd1_mut;0.0
151;arid2_mut;0.0
153;lifr_mut;0.0
152;aff2_mut;0.0
155;bap1_mut;0.0
146;brca1_mut;0.0
145;ctnna3_mut;0.0
184;rpgr_mut;0.0
183;map3k13_mut;0.0
