;wagi;cechy
2;27.194109439609367;overall_survival_months
0;21.82789572806773;age_at_diagnosis
8;8.345248178476869;cohort
1;2.5188021415697452;lymph_nodes_examined_positive
3;2.136792715298147;nottingham_prognostic_index
7;1.7230834039378755;pam50_+_claudin-low_subtype
12;1.6399501179023792;inferred_menopausal_state
173;1.426379174401482;type_of_breast_surgery
13;1.4000390793516178;integrative_cluster
227;1.3121876471156684;IC45
223;1.2383676112950883;IC41
209;0.8878560406686155;IC27
233;0.8639825593925817;IC51
189;0.7986679805214241;IC7
230;0.7516703624435684;IC48
240;0.6873585481359824;IC58
222;0.67810582657178;IC40
185;0.6406197951302305;IC3
200;0.6366555207175348;IC18
143;0.5698962454776875;primary_tumor_laterality
228;0.5652586880784851;IC46
205;0.5353066073006939;IC23
215;0.5290903273122236;IC33
190;0.5281521471398282;IC8
182;0.5015849626550081;3-gene_classifier_subtype
198;0.483913280224018;IC16
187;0.4814685886936516;IC5
203;0.4796843152791098;IC21
242;0.4745949646390478;IC60
234;0.44004433570162055;IC52
108;0.43607595015599887;palld_mut
207;0.4206969931597116;IC25
15;0.40864180277051154;pik3ca_mut
219;0.3920991427492122;IC37
21;0.37798269274125323;gata3_mut
208;0.3682601596661734;IC26
220;0.36798067364768755;IC38
204;0.3666012848490227;IC22
206;0.3536797173961735;IC24
181;0.34319999349967834;cellularity
138;0.3393975098661016;tumor_stage
239;0.3370518282107372;IC57
241;0.33329562569557153;IC59
214;0.31646166790455327;IC32
193;0.31607378001870423;IC11
4;0.3133059709584729;tumor_size
226;0.30968085590789096;IC44
199;0.29791677219727214;IC17
231;0.29538407578939363;IC49
210;0.2922962599130125;IC28
217;0.28944718604044;IC35
212;0.28504297662428746;IC30
238;0.27344076884967444;IC56
41;0.26424374713267423;notch1_mut
184;0.25568829004086074;IC2
225;0.2548086389171519;IC43
235;0.24583347761617066;IC53
236;0.2454182066696065;IC54
144;0.24175195571840583;neoplasm_histologic_grade
196;0.24102802267551768;IC14
188;0.24081299429706923;IC6
10;0.23553401846113028;her2_status_measured_by_snp6
186;0.2295377991344747;IC4
229;0.22226522344064012;IC47
192;0.20968532591572978;IC10
232;0.20800085815153585;IC50
194;0.20500635024726283;IC12
191;0.20167758343117284;IC9
202;0.18115782450486925;IC20
183;0.17351077300180612;IC1
213;0.17014296522374023;IC31
22;0.1697093926091168;map3k1_mut
201;0.1614095107204083;IC19
197;0.15973427422351294;IC15
160;0.15803527854938218;tumor_other_histologic_subtype
218;0.14725802966722515;IC36
37;0.14147271210446163;tbx3_mut
113;0.1389900407491461;men1_mut
117;0.13652488342805197;ttyh1_mut
158;0.13551121249970613;cancer_type_detailed
211;0.13374789370531526;IC29
159;0.12909573048313;oncotree_code
43;0.12283926423211182;ncor2_mut
5;0.1075498054352159;mutation_count
76;0.10752871666197127;ctcf_mut
29;0.10741983482420711;ryr2_mut
237;0.10559644817824843;IC55
95;0.10423627074053302;jak1_mut
27;0.09921244838860936;kmt2d_mut
44;0.09826225339345895;col12a1_mut
75;0.09604334005733522;apc_mut
166;0.09473074420387088;er_status_measured_by_ihc
125;0.0939589573524084;prkce_mut
39;0.0909290702567626;arid1a_mut
120;0.08568209215756935;rpgr_mut
98;0.07806300248281392;egfr_mut
104;0.07504990593862068;smad4_mut
38;0.07457485471192188;col6a3_mut
73;0.07406579480393444;pik3r1_mut
57;0.06986507838249208;lamb3_mut
51;0.06747766994526122;stab2_mut
94;0.06735271417322544;chd1_mut
85;0.0651103878617059;brca2_mut
66;0.06484170690791957;thsd7a_mut
116;0.0642971681454626;fbxw7_mut
224;0.06071018067053048;IC42
9;0.060161590534376676;er_status
42;0.05991956739277104;cbfb_mut
84;0.057908349886720306;usp28_mut
60;0.0573302181213448;sf3b1_mut
48;0.05629941994230118;atr_mut
69;0.05475969241348764;rb1_mut
61;0.05428061121471063;shank2_mut
52;0.053562533129421865;myh9_mut
23;0.052036708035384835;ahnak_mut
45;0.04986333609078849;col22a1_mut
28;0.049067571850162216;ush2a_mut
68;0.04798909673905485;erbb3_mut
195;0.04508985087699141;IC13
65;0.044759066003635994;setd1a_mut
111;0.04238676888418521;cdkn1b_mut
221;0.04180955324572425;IC39
74;0.04134594399514822;asxl2_mut
115;0.038669820813039886;nrg3_mut
54;0.037443994095797975;nf1_mut
83;0.03534383943922068;foxo3_mut
112;0.03422624535427076;gps2_mut
55;0.03367830132470051;map2k4_mut
88;0.03232335701636362;aff2_mut
53;0.03207041367535842;runx1_mut
99;0.03140709400715239;map3k10_mut
118;0.030394519307512413;or6a2_mut
122;0.02827400718305492;clk3_mut
50;0.028221602342125108;ncor1_mut
129;0.02793698199714307;chek2_mut
81;0.02756334511054171;ctnna3_mut
35;0.027549653713635908;birc6_mut
133;0.02743015400004169;prkg1_mut
127;0.027375419801584106;gpr32_mut
56;0.02595446056085911;ros1_mut
11;0.025372300995146656;her2_status
119;0.02407008086505211;map3k13_mut
123;0.023180904947129016;prkcz_mut
114;0.023164432203282546;brip1_mut
49;0.022588129843445593;thada_mut
121;0.02240783149928713;foxp1_mut
132;0.021646108386226368;akt2_mut
96;0.0213332781030589;setdb1_mut
67;0.021168090974760637;afdn_mut
59;0.020856124176761692;erbb2_mut
31;0.02081853979706287;herc2_mut
135;0.020796918052829613;mtap_mut
70;0.01944932463778954;alk_mut
107;0.019374300473850935;smarcc1_mut
100;0.018587375895464373;smarcc2_mut
32;0.018072188346310414;pde4dip_mut
77;0.01799863901820444;asxl1_mut
87;0.017746417804348463;arid2_mut
91;0.017299580629179575;bap1_mut
62;0.017017134381468058;ptprd_mut
80;0.016955998785166314;kdm6a_mut
47;0.016393544231863136;akt1_mut
101;0.016042055372161593;erbb4_mut
128;0.01597498584496498;kras_mut
71;0.015464779295386413;adgra2_mut
102;0.015444196211929455;agmo_mut
58;0.013928203695013646;arid1b_mut
105;0.01382027818186559;casp8_mut
97;0.013819928194044935;arid5b_mut
89;0.013692663926318141;lifr_mut
126;0.013246324976661691;gh1_mut
6;0.013078972561463797;cancer_type
216;0.012869920072932818;IC34
109;0.01276578333936617;dcaf4l2_mut
86;0.012628140401157369;cacna2d3_mut
106;0.012055963915861494;prkcq_mut
63;0.01144305378384388;usp9x_mut
92;0.011124512302910658;l1cam_mut
79;0.009506084417393772;taf1_mut
90;0.009271819403203865;ncoa3_mut
131;0.00900769452489605;cdkn2a_mut
124;0.008488519573763233;lipi_mut
82;0.007905292215643608;brca1_mut
30;0.00785012025549175;dnah5_mut
34;0.007750171737564225;tg_mut
134;0.007606640410603498;frmd3_mut
103;0.005683801437356288;zfp36l1_mut
40;0.005451628291201938;lama2_mut
78;0.004786983914333634;fancd2_mut
93;0.00352644743389856;pbrm1_mut
130;0.0034754210878278407;acvrl1_mut
36;0.0021121321312888167;utrn_mut
72;0.0016453594650315789;ubr5_mut
110;0.0013806349189825944;bcas3_mut
64;0.0012061015279597358;setd2_mut
46;0.0008222567638715802;pten_mut
25;0.0006077416231151434;cdh1_mut
136;1.4309698315723004e-05;ndfip1_mut
18;0.0;ahnak2_mut
19;0.0;kmt2c_mut
20;0.0;syne1_mut
24;0.0;dnah11_mut
14;0.0;pr_status
26;0.0;dnah2_mut
17;0.0;muc16_mut
16;0.0;tp53_mut
33;0.0;akap9_mut
178;0.0;kdm3a_mut
177;0.0;fam20c_mut
145;0.0;ctnna1_mut
146;0.0;foxo1_mut
137;0.0;prps2_mut
139;0.0;taf4b_mut
176;0.0;gldc_mut
175;0.0;myo1a_mut
174;0.0;ptprm_mut
172;0.0;sik2_mut
171;0.0;hdac9_mut
170;0.0;agtr2_mut
165;0.0;prkacg_mut
169;0.0;sbno1_mut
168;0.0;myo3a_mut
167;0.0;sik1_mut
163;0.0;npnt_mut
164;0.0;stk11_mut
161;0.0;ptpn22_mut
162;0.0;nek1_mut
150;0.0;ppp2r2a_mut
149;0.0;nr3c1_mut
156;0.0;large1_mut
157;0.0;ldlrap1_mut
155;0.0;prr16_mut
152;0.0;nf2_mut
153;0.0;flt3_mut
154;0.0;braf_mut
147;0.0;ccnd3_mut
151;0.0;nt5e_mut
148;0.0;clrn2_mut
140;0.0;dtwd2_mut
142;0.0;tbl1xr1_mut
141;0.0;magea8_mut
180;0.0;ep300_mut
179;0.0;fanca_mut
