;wagi;cechy
203;0.09949030224500632;tbl1xr1_mut
25;0.09835446219339922;IC19
213;0.09536973733621885;nf2_mut
237;0.09512621024677408;gldc_mut
226;0.09167575969039204;prkacg_mut
232;0.09082425985098935;hdac9_mut
96;0.08201605251430981;birc6_mut
230;0.08181132503463613;sbno1_mut
129;0.08008516667660114;erbb3_mut
54;0.078747697389408;IC48
214;0.07121150481292036;flt3_mut
118;0.07085626872526074;lamb3_mut
43;0.07040856385419256;IC37
65;0.06637168835835437;IC59
99;0.06616819830112407;col6a3_mut
30;0.06583813481784156;IC24
161;0.06456913425026908;smarcc2_mut
113;0.06413756387570997;myh9_mut
49;0.06284023789284125;IC43
52;0.06266291963279647;IC46
47;0.062420867657981514;IC41
198;0.061060924416695896;prps2_mut
130;0.060445752084786655;rb1_mut
89;0.05937909959097519;ush2a_mut
69;0.05913118216965127;cohort
66;0.05881975925806073;IC60
79;0.05729462946770046;ahnak2_mut
107;0.05616549540002397;pten_mut
28;0.054925510862798586;IC22
60;0.052424407620466594;IC54
111;0.05154317247535195;ncor1_mut
48;0.04744640164068109;IC42
56;0.04463473228503914;IC50
92;0.04427328367654183;herc2_mut
120;0.04075026734501208;erbb2_mut
135;0.03866986957693628;asxl2_mut
20;0.038312623622337304;IC14
98;0.037920247097346614;tbx3_mut
78;0.03779896695611678;muc16_mut
37;0.037669710143791155;IC31
53;0.03753090863274868;IC47
80;0.035786667328679446;kmt2c_mut
50;0.03569352740685261;IC44
58;0.03431256040204007;IC52
106;0.03322956423314622;col22a1_mut
55;0.03304609403327819;IC49
94;0.032886524950182024;akap9_mut
126;0.03234821077374167;setd1a_mut
40;0.032325964714084804;IC34
101;0.0305963606688306;lama2_mut
131;0.030388838316858197;alk_mut
41;0.0294251719887318;IC35
36;0.028995812551690505;IC30
105;0.028136701241668668;col12a1_mut
133;0.028069400968262964;ubr5_mut
123;0.027052567438323284;ptprd_mut
134;0.025359592993984714;pik3r1_mut
119;0.02476435997019449;arid1b_mut
124;0.023780770461491654;usp9x_mut
70;0.022541681475668422;er_status
35;0.02022686745198294;IC29
91;0.018816827572031875;dnah5_mut
46;0.018171435924613434;IC40
75;0.017679451132174978;pr_status
112;0.017491958005517;stab2_mut
116;0.017199313723065986;map2k4_mut
100;0.016827469082652785;arid1a_mut
39;0.01669964054534457;IC33
33;0.016205037628034748;IC27
87;0.016003247650622436;dnah2_mut
136;0.01578951083896541;apc_mut
127;0.015716803059590324;thsd7a_mut
108;0.01450169211512406;akt1_mut
71;0.013982497175153718;her2_status_measured_by_snp6
85;0.013555742493226247;dnah11_mut
59;0.013190053596837361;IC53
45;0.011746494742487209;IC39
31;0.01045139981021018;IC25
122;0.00977134719225033;shank2_mut
128;0.00976474141644758;afdn_mut
73;0.009417015774695574;inferred_menopausal_state
102;0.009342750152238392;notch1_mut
51;0.009125475930439612;IC45
72;0.009019819414284012;her2_status
68;0.008918620897153355;pam50_+_claudin-low_subtype
103;0.00884684664914708;cbfb_mut
88;0.008812870410887899;kmt2d_mut
57;0.00826067796188986;IC51
24;0.008201574483167101;IC18
125;0.007935475932521172;setd2_mut
110;0.007008025997785168;thada_mut
95;0.006567189434625096;tg_mut
121;0.006551331742865905;sf3b1_mut
34;0.006505051785779306;IC28
117;0.006438764886476489;ros1_mut
81;0.006362727650838694;syne1_mut
63;0.006110187990371635;IC57
97;0.005876908573652033;utrn_mut
104;0.0058416193496894486;ncor2_mut
29;0.0052950636884800525;IC23
86;0.0050579339551993455;cdh1_mut
77;0.005028254764379055;tp53_mut
82;0.0046778955135413965;gata3_mut
64;0.00417486828150267;IC58
115;0.003953722330667365;nf1_mut
32;0.003857211117070118;IC26
132;0.0029804290490092773;adgra2_mut
93;0.002900484031739794;pde4dip_mut
61;0.0013157021172988724;IC55
84;0.0004301325033888252;ahnak_mut
7;2.5945327459820862e-05;IC1
90;0.0;ryr2_mut
62;0.0;IC56
17;0.0;IC11
15;0.0;IC9
23;0.0;IC17
21;0.0;IC15
26;0.0;IC20
27;0.0;IC21
19;0.0;IC13
18;0.0;IC12
177;0.0;fbxw7_mut
176;0.0;nrg3_mut
179;0.0;or6a2_mut
178;0.0;ttyh1_mut
146;0.0;brca2_mut
147;0.0;cacna2d3_mut
141;0.0;kdm6a_mut
140;0.0;taf1_mut
137;0.0;ctcf_mut
138;0.0;asxl1_mut
175;0.0;brip1_mut
173;0.0;gps2_mut
172;0.0;cdkn1b_mut
171;0.0;bcas3_mut
167;0.0;prkcq_mut
170;0.0;dcaf4l2_mut
169;0.0;palld_mut
168;0.0;smarcc1_mut
165;0.0;smad4_mut
166;0.0;casp8_mut
164;0.0;zfp36l1_mut
163;0.0;agmo_mut
151;0.0;ncoa3_mut
162;0.0;erbb4_mut
157;0.0;setdb1_mut
158;0.0;arid5b_mut
156;0.0;jak1_mut
153;0.0;l1cam_mut
154;0.0;pbrm1_mut
155;0.0;chd1_mut
148;0.0;arid2_mut
150;0.0;lifr_mut
149;0.0;aff2_mut
152;0.0;bap1_mut
143;0.0;brca1_mut
142;0.0;ctnna3_mut
181;0.0;rpgr_mut
180;0.0;map3k13_mut
