;cecha;wagi
2;overall_survival_months;0.025566537
0;age_at_diagnosis;0.02215954
12;inferred_menopausal_state;0.021975778
8;cohort;0.01624843
113;men1_mut;0.012290765
1;lymph_nodes_examined_positive;0.01084668
117;ttyh1_mut;0.0104065705
173;type_of_breast_surgery;0.009806284
3;nottingham_prognostic_index;0.008787861
94;chd1_mut;0.008478033
119;map3k13_mut;0.0083990395
124;lipi_mut;0.007729215
34;tg_mut;0.007684226
75;apc_mut;0.007682339
52;myh9_mut;0.007531608
100;smarcc2_mut;0.0070592896
111;cdkn1b_mut;0.0070496476
107;smarcc1_mut;0.0069339187
108;palld_mut;0.0069158184
61;shank2_mut;0.0068165367
101;erbb4_mut;0.0067683705
118;or6a2_mut;0.0067586126
73;pik3r1_mut;0.0067386692
22;map3k1_mut;0.0066986284
53;runx1_mut;0.006698339
21;gata3_mut;0.0066736494
45;col22a1_mut;0.0064675063
57;lamb3_mut;0.0064632697
11;her2_status;0.006395908
143;primary_tumor_laterality;0.0063398206
87;arid2_mut;0.006313791
35;birc6_mut;0.006289003
76;ctcf_mut;0.0061738403
104;smad4_mut;0.0061639855
223;IC41;0.006145623
182;3-gene_classifier_subtype;0.006101155
58;arid1b_mut;0.0061009373
44;col12a1_mut;0.0059864228
144;neoplasm_histologic_grade;0.005960988
4;tumor_size;0.0059236204
26;dnah2_mut;0.0059201666
56;ros1_mut;0.0059104064
114;brip1_mut;0.0058748764
18;ahnak2_mut;0.0058508893
40;lama2_mut;0.005837889
27;kmt2d_mut;0.0058222115
48;atr_mut;0.005791061
60;sf3b1_mut;0.005749101
62;ptprd_mut;0.0057187155
77;asxl1_mut;0.005717191
16;tp53_mut;0.0056255846
13;integrative_cluster;0.0056133503
98;egfr_mut;0.005606807
241;IC59;0.0055585983
43;ncor2_mut;0.0054888264
198;IC16;0.0054560215
42;cbfb_mut;0.0054425676
230;IC48;0.005423544
30;dnah5_mut;0.0053788023
82;brca1_mut;0.0053589917
235;IC53;0.005307544
39;arid1a_mut;0.00524365
185;IC3;0.0052325395
206;IC24;0.005230929
227;IC45;0.0051942533
240;IC58;0.005172063
85;brca2_mut;0.0051584113
217;IC35;0.0051381877
7;pam50_+_claudin-low_subtype;0.00513702
166;er_status_measured_by_ihc;0.005134625
47;akt1_mut;0.005131867
68;erbb3_mut;0.005115522
209;IC27;0.005107828
242;IC60;0.0050914525
160;tumor_other_histologic_subtype;0.0050580865
37;tbx3_mut;0.005021479
19;kmt2c_mut;0.005021355
190;IC8;0.005020187
