;missing in:;chi2:;p_value;category
6;tumor_stage;1232.5919224209554;1.369488099004946e-265;cohort
3437;tumor_size;1904.0;2.837065583989557e-227;nottingham_prognostic_index
3751;taf4b_mut;894.5260987392483;1.7108822427622964e-105;ahnak_mut
5542;dtwd2_mut;775.859067486455;1.2422355888787085e-104;birc6_mut
6002;magea8_mut;689.9922208771874;1.0608602981944495e-101;atr_mut
6870;tbl1xr1_mut;950.224662521456;2.442776498806046e-100;map3k1_mut
302;primary_tumor_laterality;432.62833911987127;2.4719395564342236e-92;cohort
6879;tbl1xr1_mut;712.3432641502263;9.848451215213024e-90;herc2_mut
5541;dtwd2_mut;690.0887363215955;1.10789212907948e-87;tg_mut
460;neoplasm_histologic_grade;1087.4434212154224;3.1102727022457104e-87;nottingham_prognostic_index
5689;ctnna1_mut;690.0967370649643;1.2481584133483146e-85;akap9_mut
3786;taf4b_mut;525.5464196956096;1.5765209080043277e-80;arid1b_mut
6148;foxo1_mut;569.304959336038;8.868921122552565e-80;col22a1_mut
5719;ctnna1_mut;517.2490456628651;2.0863419885833786e-79;usp9x_mut
5562;dtwd2_mut;517.2817783011678;2.179181509075919e-78;map2k4_mut
6647;ccnd3_mut;421.6298139907324;1.9332645805313089e-72;arid5b_mut
5266;clrn2_mut;473.9529520961172;2.1320155149336098e-70;lamb3_mut
5674;ctnna1_mut;863.3540693132949;2.737580009257308e-69;ahnak2_mut
6726;nr3c1_mut;632.9761360304897;7.451305906269016e-68;kmt2d_mut
4778;ppp2r2a_mut;1003.8800494088791;2.748997835795074e-66;tp53_mut
6286;nt5e_mut;569.4026270551519;1.124780678197717e-65;tg_mut
6187;foxo1_mut;379.3155439582678;1.303161923610776e-65;usp28_mut
6775;nr3c1_mut;421.67456370805274;3.509383346909255e-65;ctcf_mut
5699;ctnna1_mut;517.3651879166778;2.1242901814309346e-64;ncor2_mut
6575;ccnd3_mut;633.0562831973449;4.019355740368322e-64;cdh1_mut
4965;nf2_mut;473.9873150105708;6.876194454547143e-64;nf1_mut
6134;foxo1_mut;569.4439300969395;7.748876627198786e-64;herc2_mut
6136;foxo1_mut;569.4114232261745;7.852159831598922e-64;akap9_mut
6617;ccnd3_mut;421.6987264624166;3.71255061463293e-63;afdn_mut
5696;ctnna1_mut;517.3855492689217;8.259877197729453e-63;lama2_mut
6337;nt5e_mut;379.3085302870307;5.280940731989127e-61;brca2_mut
6765;nr3c1_mut;421.7017614844112;9.834278938090078e-61;thsd7a_mut
3652;flt3_mut;397.94192632827077;1.6720682634003114e-60;pik3r1_mut
3654;flt3_mut;397.9287602727102;5.22468706838997e-59;apc_mut
3762;taf4b_mut;525.8469717405458;5.9090245679011365e-58;tg_mut
5755;ctnna1_mut;344.642484716106;5.933525864495028e-58;map3k10_mut
5691;ctnna1_mut;517.4266798802992;3.435547098134323e-57;birc6_mut
5678;ctnna1_mut;690.3233935286299;4.117949640150685e-57;map3k1_mut
