;missing in:;chi2:;p_value;category;p_adj;type
6;tumor_stage;1232.5919224209554;1.369488099004946e-265;cohort;9.568613347747558e-262;clinic-clinic
3437;tumor_size;1904.0;2.837065583989557e-227;nottingham_prognostic_index;9.911288617667517e-224;clinic-clinic
3751;taf4b_mut;894.5260987392483;1.7108822427622964e-105;ahnak_mut;3.984644743393388e-102;gene-gene
5542;dtwd2_mut;775.859067486455;1.2422355888787085e-104;birc6_mut;2.169875014873884e-101;gene-gene
6002;magea8_mut;689.9922208771874;1.0608602981944495e-101;atr_mut;1.482446180696924e-98;gene-gene
6870;tbl1xr1_mut;950.224662521456;2.442776498806046e-100;map3k1_mut;2.8446132328596407e-97;gene-gene
302;primary_tumor_laterality;432.62833911987127;2.4719395564342236e-92;cohort;2.4673488115437033e-89;clinic-clinic
6879;tbl1xr1_mut;712.3432641502263;9.848451215213024e-90;herc2_mut;8.601391080086676e-87;gene-gene
5541;dtwd2_mut;690.0887363215955;1.10789212907948e-87;tg_mut;8.600935895420363e-85;gene-gene
460;neoplasm_histologic_grade;1087.4434212154224;3.1102727022457104e-87;nottingham_prognostic_index;2.1731475370590777e-84;clinic-clinic
5689;ctnna1_mut;690.0967370649643;1.2481584133483146e-85;akap9_mut;7.928075303695158e-83;gene-gene
3786;taf4b_mut;525.5464196956096;1.5765209080043277e-80;arid1b_mut;9.179292986855198e-78;gene-gene
6148;foxo1_mut;569.304959336038;8.868921122552565e-80;col22a1_mut;4.766703991021137e-77;gene-gene
5719;ctnna1_mut;517.2490456628651;2.0863419885833786e-79;usp9x_mut;1.041233676730862e-76;gene-gene
5562;dtwd2_mut;517.2817783011678;2.179181509075919e-78;map2k4_mut;1.0150627469275632e-75;gene-gene
6647;ccnd3_mut;421.6298139907324;1.9332645805313089e-72;arid5b_mut;8.44232476510766e-70;gene-gene
5266;clrn2_mut;473.9529520961172;2.1320155149336098e-70;lamb3_mut;8.762583766377136e-68;gene-gene
5674;ctnna1_mut;863.3540693132949;2.737580009257308e-69;ahnak2_mut;1.0626373069267117e-66;gene-gene
6726;nr3c1_mut;632.9761360304897;7.451305906269016e-68;kmt2d_mut;2.7401197035316645e-65;gene-gene
4778;ppp2r2a_mut;1003.8800494088791;2.748997835795074e-66;tp53_mut;9.603623939350093e-64;gene-gene
6286;nt5e_mut;569.4026270551519;1.124780678197717e-65;tg_mut;3.742305999317833e-63;gene-gene
6187;foxo1_mut;379.3155439582678;1.303161923610776e-65;usp28_mut;4.1387238001220414e-63;gene-gene
6775;nr3c1_mut;421.67456370805274;3.509383346909255e-65;ctcf_mut;1.0660896280371722e-62;gene-gene
5699;ctnna1_mut;517.3651879166778;2.1242901814309346e-64;ncor2_mut;6.184339790690808e-62;gene-gene
6575;ccnd3_mut;633.0562831973449;4.019355740368322e-64;cdh1_mut;1.1233295423181386e-61;gene-gene
4965;nf2_mut;473.9873150105708;6.876194454547143e-64;nf1_mut;1.8478450251508036e-61;gene-gene
6134;foxo1_mut;569.4439300969395;7.748876627198786e-64;herc2_mut;1.959394312263631e-61;gene-gene
6136;foxo1_mut;569.4114232261745;7.852159831598922e-64;akap9_mut;1.959394312263631e-61;gene-gene
6617;ccnd3_mut;421.6987264624166;3.71255061463293e-63;afdn_mut;8.944686601531132e-61;gene-gene
5696;ctnna1_mut;517.3855492689217;8.259877197729453e-63;lama2_mut;1.9237253993511895e-60;gene-gene
6337;nt5e_mut;379.3085302870307;5.280940731989127e-61;brca2_mut;1.1902558998196138e-58;gene-gene
6765;nr3c1_mut;421.7017614844112;9.834278938090078e-61;thsd7a_mut;2.1472533418886056e-58;gene-gene
3652;flt3_mut;397.94192632827077;1.6720682634003114e-60;pik3r1_mut;3.54022453223575e-58;gene-gene
3654;flt3_mut;397.9287602727102;5.22468706838997e-59;apc_mut;1.0736731925541388e-56;gene-gene
3762;taf4b_mut;525.8469717405458;5.9090245679011365e-58;tg_mut;1.1515984782007433e-55;gene-gene
5755;ctnna1_mut;344.642484716106;5.933525864495028e-58;map3k10_mut;1.1515984782007433e-55;gene-gene
5691;ctnna1_mut;517.4266798802992;3.435547098134323e-57;birc6_mut;6.4876128580174356e-55;gene-gene
5678;ctnna1_mut;690.3233935286299;4.117949640150685e-57;map3k1_mut;7.571608983087589e-55;gene-gene
6180;foxo1_mut;379.33667537375635;7.420909644496433e-57;asxl1_mut;1.3294845047717072e-54;gene-gene
6173;foxo1_mut;379.3508388054509;2.1328289610374965e-55;alk_mut;3.651933268392924e-53;gene-gene
6178;foxo1_mut;379.34021052368746;2.142969285875338e-55;apc_mut;3.651933268392924e-53;gene-gene
6046;magea8_mut;344.65451187374856;3.6671611664311236e-55;l1cam_mut;6.10058454044149e-53;gene-gene
6319;nt5e_mut;379.3686290846032;6.34023401113655e-55;afdn_mut;1.030214303158397e-52;gene-gene
6603;ccnd3_mut;421.7538629709779;1.585095883827013e-54;runx1_mut;2.5170602137043953e-52;gene-gene
5248;clrn2_mut;474.09640966154655;6.959505487312668e-54;arid1a_mut;1.0805792186634136e-51;gene-gene
6419;braf_mut;759.8938640607564;1.3689778845528007e-53;ahnak2_mut;2.0793583650805256e-51;gene-gene
6160;foxo1_mut;379.3972940937434;3.5820466079426544e-52;lamb3_mut;5.325055244616026e-50;gene-gene
5411;prr16_mut;401.2337984228734;9.976445521304344e-51;runx1_mut;1.4521963511948635e-48;gene-gene
5735;ctnna1_mut;344.69488200052814;1.3491680751442715e-50;taf1_mut;1.9238035389863318e-48;gene-gene
4242;large1_mut;354.83501788213346;3.3379572512281923e-50;afdn_mut;4.664461462866276e-48;gene-gene
6883;tbl1xr1_mut;474.7627480399824;9.112677050208214e-50;birc6_mut;1.2484367558785255e-47;gene-gene
4946;nf2_mut;474.14019842796483;1.1661951466939555e-49;birc6_mut;1.5669625942212822e-47;gene-gene
5677;ctnna1_mut;519.2730531535794;7.267015193491696e-49;gata3_mut;9.580119840929525e-47;gene-gene
5726;ctnna1_mut;344.7193126628268;1.0047223885003254e-48;alk_mut;1.2999991348984766e-46;gene-gene
5683;ctnna1_mut;517.5426744998853;2.844337478318034e-48;kmt2d_mut;3.613342902001474e-46;gene-gene
5231;clrn2_mut;632.6060044266102;3.4818311938476484e-48;map3k1_mut;4.3442061698952714e-46;gene-gene
5093;ldlrap1_mut;474.1804742023375;2.408419439336295e-47;akap9_mut;2.9522151969548584e-45;gene-gene
6434;braf_mut;473.7087833106518;2.893164728966636e-47;akap9_mut;3.4852658553948076e-45;gene-gene
6591;ccnd3_mut;421.83544170414746;3.4931361652880204e-47;notch1_mut;4.1367020994690505e-45;gene-gene
3463;tumor_size;472.9545799635728;3.878530315371405e-47;akap9_mut;4.516548552250001e-45;clinic-gene
4742;cancer_type_detailed;252.19159564423092;4.775717234839357e-47;chek2_mut;5.2964978285432675e-45;clinic-gene
